Year,,Allworkers,"Automobile, total",Drives self,"Carpool, total",2-person,3-person,4+ persona,Public transportationb,Taxicab,Bicyclec,Motorcycle,Walks only,Other meansd,Works at home
1989,Number,106630,93943,81322,12621,9708,1748,1165,4880,152,NA,795,3634,491,2736
1993,Number,103741,91301,79449,11852,9105,1684,1063,4740,117,NA,744,3227,474,3137
1997,Number,116469,101908,90207,11701,9294,1526,881,5337,139,NA,738,3869,867,3611
1999,Number,118041,103467,92363,11104,8705,1454,945,5779,144,NA,749,3627,987,3288
2001,Number,119896,105450,93819,11631,9012,1642,977,5602,133,NA,846,3405,1052,3409
2002,Number,128618,112941,99575,13367,NA,NA,NA,6202,183,465,139,3184,1056,4448
2003,Number,129142,113900,100417,13483,NA,NA,NA,6072,159,483,148,2934,927,4518
2004,Number,130831,114819,101635,13183,10328,1702,1154,5978,154,490,192,3116,1060,5023
2005,Number,133091,116659,102458,14200,10981,1911,1308,6202,176,535,248,3291,1184,4796
2006,Number,138266,119898,105046,14852,11408,1992,1451,6684,178,623,272,3952,1247,5411
2007,Number,139260,120442,105955,14488,11139,1963,1385,6801,179,665,284,3954,1258,5677
2008,Number,143996,124177,108776,15402,11846,2088,1467,7210,167,786,397,4061,1301,5897
2009,Number,138592,119393,105476,13917,10813,1822,1282,6922,157,766,294,3966,1176,5918
2010,Number,136941,118124,104858,13266,10294,1733,1239,6769,151,731,267,3797,1178,5924
2011,Number,138270,119027,105639,13388,10382,1759,1246,6956,165,778,288,3888,1175,5994
2012,Number,140863,121136,107460,13676,10548,1830,1298,7053,162,865,325,3969,1209,6144
