Year,FUEL COMB. ELEC. UTIL.,FUEL COMB. INDUSTRIAL,FUEL COMB. OTHER,CHEMICAL & ALLIED PRODUCT MFG,METALS PROCESSING,PETROLEUM & RELATED INDUSTRIES,OTHER INDUSTRIAL PROCESSES,WASTE DISPOSAL & RECYCLING,Stationary fuel combustion,Industrial and other processes,Transportation,Miscellaneous
1970,4900,4325,836,271,77,240,187,440,10061,1215,15276,330
1975,5694,4007,785,221,73,63,182,159,10486,698,15029,165
1980,7024,3555,741,213,65,72,205,111,11320,666,14846,248
1985,6127,3209,712,262,87,124,327,87,10048,891,14508,314
1990,6663,3035,1196,168,97,153,378,91,10894,891,13373,373
1991,6519,2979,1281,165,76,121,352,95,10779,817,13298,294
1992,6504,3071,1353,163,81,148,361,96,10928,857,13221,263
1993,6651,3151,1308,155,83,123,370,123,11110,862,13143,249
1994,6565,3147,1303,160,91,117,389,114,11015,879,13066,398
1995,6384,3144,1298,158,98,110,399,99,10826,873,12989,276
1996,6164,3151,1197,125,83,139,433,153,10513,950,12912,429
1997,6276,3101,1177,127,89,143,460,157,10554,994,12970,206
1998,6232,3050,1101,129,89,143,467,163,10383,1010,12776,198
1999,5721,2709,768,102,86,120,451,162,9198,940,12456,269
2000,5330,2723,766,105,89,122,479,129,8819,943,12560,295
2001,4917,2757,779,107,94,124,504,130,8454,981,11930,204
2002,4709,2041,738,70,69,354,429,111,7488,1059,15201,237
2003,4340,1971,736,67,68,357,448,122,7047,1087,14338,202
2004,3969,1897,734,64,67,355,467,134,6600,1109,13475,168
2005,3792,1820,730,61,66,354,482,146,6343,1129,12612,291
2006,3588,1681,682,59,71,379,461,130,5951,1118,11890,287
2007,3383,1543,633,57,75,405,440,113,5559,1108,11167,283
2008,3144,1399,585,55,79,431,416,97,5127,1094,10426,278
2009,2818,1352,575,54,76,516,395,92,4745,1151,9598,295
2010,2458,1305,565,53,73,601,374,88,4328,1207,9017,314
2011,2090,1258,555,51,71,685,353,83,3904,1264,8952,420
2012,1826,1258,555,51,71,685,353,83,3640,1264,8354,420
2013,1838,1258,555,51,71,685,353,83,3652,1264,7756,420
2014,1776,1258,555,51,71,685,353,83,3590,1264,7158,420
