Year,FUEL COMB. ELEC. UTIL.,FUEL COMB. INDUSTRIAL,FUEL COMB. OTHER,CHEMICAL & ALLIED PRODUCT MFG,METALS PROCESSING,PETROLEUM & RELATED INDUSTRIES,OTHER INDUSTRIAL PROCESSES,WASTE DISPOSAL & RECYCLING,Stationary fuel combustion,Industrial and other processes,Transportation,Miscellaneous
1990,0,17,8,183,6,43,38,82,25,352,186,3757
1991,0,17,8,183,6,43,38,86,25,356,204,3799
1992,0,17,8,183,6,43,39,89,25,360,217,3841
1993,0,18,8,183,6,43,39,93,26,364,231,3897
1994,0,18,8,183,6,43,40,93,26,365,245,3953
1995,0,18,8,183,6,43,40,93,26,365,259,4009
1996,6,34,7,123,5,16,43,84,47,272,270,4139
1997,6,33,7,125,5,17,45,84,46,277,299,4196
1998,8,33,6,130,5,17,45,86,47,284,291,4319
1999,11,31,8,25,2,9,48,82,50,171,270,4371
2000,11,31,8,26,2,10,50,83,50,176,278,4408
2001,11,31,8,27,2,10,52,85,50,181,281,3182
2002,29,17,18,23,3,3,177,26,64,233,158,3540
2003,28,18,18,21,3,2,178,26,64,232,155,3555
2004,27,19,18,20,3,2,179,27,63,231,152,3571
2005,25,20,18,18,3,1,179,28,63,230,149,3491
2006,26,17,33,18,2,1,138,41,77,204,149,3650
2007,27,15,48,18,2,1,97,54,90,177,149,3809
2008,28,13,63,19,2,1,56,67,104,151,141,3968
2009,27,13,64,20,2,1,49,57,104,135,137,3946
2010,26,13,65,22,1,1,41,46,104,118,132,3924
2011,25,13,66,23,1,1,34,36,104,102,127,3906
2012,25,13,66,23,1,1,34,36,104,102,122,3906
2013,25,13,66,23,1,1,34,36,104,102,116,3906
2014,25,13,66,23,1,1,34,36,104,102,111,3906
